lga_code_2021, overseas_arrivals_2020_21
"10050",181
"10180",182
"10250",126
"10300",4
"10470",109
"10500",3382
"10550",57
"10600",26
"10650",25
"10750",3063
"10800",5
"10850",7
"10900",263
"10950",4
"11150",2
"11200",1
"11250",25
"11520",1383
"11570",3873
"11600",9
"11300",1102
"11350",295
"11400",14
"11450",213
"11500",939
"11650",927
"11700",8
"11720",57
"11730",73
"11750",12
"11800",368
"12000",3
"12150",2
"12160",12
"12350",13
"12380",3800
"12390",215
"12700",4
"12730",22
"12750",76
"12850",1977
"12870",17
"12900",9
"12930",2651
"12950",11
"13010",9
"13310",91
"13340",13
"13450",293
"13550",22
"13660",3
"13800",114
"13850",10
"13910",29
"14000",1540
"14100",93
"14170",2922
"14220",33
"14300",40
"14350",55
"14400",67
"14500",1558
"14550",10
"14600",3
"14650",436
"14700",550
"14750",25
"14850",94
"14870",30
"14900",1395
"14920",5
"14950",3
"15050",149
"15240",158
"15270",43
"15300",23
"15350",442
"15520",30
"15560",12
"15650",42
"15700",24
"15750",17
"15800",17
"15850",8
"15900",1237
"15950",1319
"15990",2469
"16100",8
"16150",123
"16200",22
"16260",5331
"16350",720
"16380",176
"16400",159
"16490",363
"16550",3306
"16610",35
"16700",2464
"16900",163
"16950",242
"17000",44
"17040",81
"17080",31
"17150",886
"17200",8297
"17310",247
"17350",5
"17400",5
"17420",1303
"17100",1424
"17550",326
"17620",32
"17640",9
"17650",8
"17750",273
"17850",4
"17900",7
"17950",4
"18020",13
"18050",1674
"18100",6
"18200",5
"18250",1824
"18350",183
"18400",77
"18450",986
"18500",875
"18710",35
"19399",3
"20110",18
"20260",16
"20570",140
"20660",353
"20740",31
"20830",35
"20910",387
"21010",7
"21110",1023
"21180",791
"21270",4
"21370",20
"21450",137
"21610",960
"21670",5
"21750",21
"21830",10
"21890",847
"22110",24
"22170",193
"22250",2
"22310",870
"22410",9
"22490",8
"22620",129
"22670",998
"22750",482
"22830",134
"22910",12
"22980",3
"23110",290
"23190",15
"23270",814
"23350",8
"23430",554
"23670",353
"23810",61
"23940",3
"24130",40
"24210",518
"24250",17
"24330",556
"24410",284
"24600",3588
"24650",337
"24780",116
"24850",59
"24900",27
"24970",1852
"25060",476
"25150",20
"25250",1035
"25340",181
"25430",17
"25490",18
"25620",13
"25710",78
"25810",11
"25900",852
"25990",3
"26080",4
"26170",19
"26260",15
"26350",877
"26430",10
"26490",43
"26610",38
"26670",2
"26700",21
"26730",72
"26810",46
"26890",2
"26980",1194
"27070",767
"27170",47
"27260",1205
"27350",680
"27450",159
"27630",4
"29399",1
"30250",1
"30300",8
"30370",30
"30410",2
"30450",0
"30760",1
"31000",10347
"31900",47
"31950",0
"30900",1
"31750",0
"31820",250
"32080",758
"32250",2
"32260",101
"32270",45
"32310",12
"33100",0
"33200",1
"33220",141
"33360",162
"33430",3436
"33610",14
"33620",51
"32330",1
"32450",4
"32500",13
"32600",0
"32750",0
"33800",7
"32770",2
"32810",71
"33830",3
"33960",526
"33980",33
"34420",2
"34530",50
"34570",2
"34580",171
"34590",1148
"34710",6
"34770",183
"34800",1
"34830",1
"34860",13
